student_id,grade,fold
STUDENT1,1,3.0
STUDENT2,1,1.0
STUDENT3,1,3.0
STUDENT4,1,3.0
STUDENT5,1,2.0
STUDENT6,2,0.0
STUDENT7,5,4.0
STUDENT8,2,1.0
STUDENT9,5,4.0
STUDENT10,0,0.0
STUDENT11,2,4.0
STUDENT12,0,1.0
STUDENT13,0,2.0
STUDENT14,1,4.0
STUDENT15,2,3.0
STUDENT16,2,2.0
STUDENT17,1,2.0
STUDENT18,2,1.0
STUDENT19,2,4.0
STUDENT20,3,4.0
STUDENT21,1,1.0
STUDENT22,1,1.0
STUDENT23,3,0.0
STUDENT24,1,2.0
STUDENT25,2,2.0
STUDENT26,3,1.0
STUDENT27,1,1.0
STUDENT28,1,4.0
STUDENT29,3,3.0
STUDENT30,5,1.0
STUDENT31,5,2.0
STUDENT32,3,4.0
STUDENT33,1,0.0
STUDENT34,2,2.0
STUDENT35,2,1.0
STUDENT36,1,0.0
STUDENT37,2,4.0
STUDENT38,1,2.0
STUDENT39,2,4.0
STUDENT40,1,3.0
STUDENT41,1,0.0
STUDENT42,1,1.0
STUDENT43,1,0.0
STUDENT44,4,0.0
STUDENT45,1,0.0
STUDENT46,3,0.0
STUDENT47,5,4.0
STUDENT48,3,2.0
STUDENT49,1,4.0
STUDENT50,2,3.0
STUDENT51,1,0.0
STUDENT52,4,2.0
STUDENT53,1,4.0
STUDENT54,5,1.0
STUDENT55,3,4.0
STUDENT56,3,2.0
STUDENT57,5,2.0
STUDENT58,4,1.0
STUDENT59,3,0.0
STUDENT60,5,3.0
STUDENT61,2,0.0
STUDENT62,5,4.0
STUDENT63,3,1.0
STUDENT64,5,0.0
STUDENT65,3,4.0
STUDENT66,2,0.0
STUDENT67,5,0.0
STUDENT68,1,3.0
STUDENT69,5,0.0
STUDENT70,5,0.0
STUDENT71,7,3.0
STUDENT72,6,0.0
STUDENT73,6,4.0
STUDENT74,6,3.0
STUDENT75,7,3.0
STUDENT76,7,4.0
STUDENT77,4,2.0
STUDENT78,7,1.0
STUDENT79,4,1.0
STUDENT80,3,2.0
STUDENT81,4,3.0
STUDENT82,3,2.0
STUDENT83,7,2.0
STUDENT84,7,0.0
STUDENT85,7,3.0
STUDENT86,4,4.0
STUDENT87,5,2.0
STUDENT88,6,0.0
STUDENT89,6,4.0
STUDENT90,6,3.0
STUDENT91,6,2.0
STUDENT92,6,1.0
STUDENT93,7,0.0
STUDENT94,4,3.0
STUDENT95,6,1.0
STUDENT96,5,3.0
STUDENT97,7,1.0
STUDENT98,6,2.0
STUDENT99,7,2.0
STUDENT100,7,1.0
STUDENT101,6,3.0
STUDENT102,7,2.0
STUDENT103,7,0.0
STUDENT104,7,4.0
STUDENT105,3,1.0
STUDENT106,7,0.0
STUDENT107,7,1.0
STUDENT108,6,4.0
STUDENT109,6,2.0
STUDENT110,7,4.0
STUDENT111,2,3.0
STUDENT112,2,1.0
STUDENT113,2,1.0
STUDENT114,1,4.0
STUDENT115,2,0.0
STUDENT116,1,1.0
STUDENT117,1,3.0
STUDENT118,1,2.0
STUDENT119,1,3.0
STUDENT120,2,0.0
STUDENT121,1,0.0
STUDENT122,0,3.0
STUDENT123,2,3.0
STUDENT124,1,2.0
STUDENT125,3,4.0
STUDENT126,2,2.0
STUDENT127,3,1.0
STUDENT128,1,4.0
STUDENT129,0,2.0
STUDENT130,3,3.0
STUDENT131,1,1.0
STUDENT132,4,4.0
STUDENT133,3,3.0
STUDENT134,3,3.0
STUDENT135,1,2.0
STUDENT136,2,3.0
STUDENT137,0,4.0
STUDENT138,2,2.0
STUDENT139,0,1.0
STUDENT140,0,3.0
STUDENT141,5,3.0
STUDENT142,5,1.0
STUDENT143,1,4.0
STUDENT144,4,0.0
STUDENT145,3,0.0
