feature,cramers_v_vs_grade,spearman_rho_vs_grade,spearman_p
course_id,0.376,0.135,0.1055
sex,0.365,0.331,0.0
gpa_last_semester,0.262,0.351,0.0
age_group,0.228,-0.07,0.4007
project_impact,0.201,-0.185,0.026
scholarship_type,0.18,0.065,0.4407
gpa_expected_graduation,0.169,0.272,0.0009
mother_education,0.156,0.047,0.5758
has_partner,0.151,-0.041,0.6265
weekly_study_hours,0.144,-0.006,0.9394
reading_nonscientific,0.144,0.175,0.0354
class_attendance,0.138,-0.148,0.0763
additional_work,0.134,0.163,0.0508
midterm_prep_companion,0.132,-0.019,0.8206
notetaking,0.129,0.019,0.82
reading_scientific,0.128,0.004,0.9602
artistic_sports_activity,0.12,-0.048,0.5633
transport_mode,0.119,-0.166,0.046
accommodation_type,0.107,0.021,0.8055
seminar_attendance,0.101,-0.191,0.0211
father_occupation,0.09,-0.048,0.5657
mother_occupation,0.083,-0.038,0.6527
salary_bracket,0.044,-0.173,0.037
parental_status,0.0,0.025,0.7611
sibling_count,0.0,0.083,0.3209
father_education,0.0,0.045,0.5875
highschool_type,0.0,0.102,0.2217
discussion_benefit,0.0,0.148,0.0747
listening_in_class,0.0,0.097,0.245
midterm_prep_timing,0.0,0.058,0.4897
flipped_classroom_attitude,0.0,0.118,0.1561
